acousticness,popularity
0.00404995,48.5
0.00405,42
0.00405,61
0.004055,36
0.0040585,49.75
0.004060033,46
0.00407,46
0.00408,49
0.00408,45
0.00408,33
0.00409,35
0.00412,0
0.00412,45
0.00413,44
0.00413,0
0.00413,68
0.00413,54
0.00413,0
0.00413,40
0.00413,49
0.00415,61
0.00415,63
0.00416,58
0.00416,55
0.00416,43
0.00416,0
0.00417,71
0.004174669,32.0625
0.004178406,52.30645161
0.00418725,27.75
0.004199333,0
0.00422,0
0.00423,47
0.00423,39
0.00424,63
0.00424,40
0.00425,57
0.00426,0
0.004265,24.5
0.00427,56
0.00427,26
0.00428,46
0.00428,60
0.00429,0
0.00429,40
0.0043,2
0.0043,2
0.0043,2
0.00431,46
0.004315,39.5
0.00434,0
0.00435,40.5
0.00435,14
0.00436,51
0.00437,39
0.00438,0
0.00439,58
0.00439,50
0.00439,61
0.004393,56.46153846
0.0044,58
0.0044,48
0.00441,54
0.00441,67
0.00441,67
0.00443,50
0.00444,41
0.00444,47
0.00444,21
0.0044499,43.5
0.00446,36
0.0044618,72.8
0.00447,2
0.00447,49
0.00447,54
0.00448,43
0.00448,40
0.00449,44
0.0045012,50.5
0.00451,51
0.00451,64
0.004514,39.75
0.00452,48
0.00454,33
0.00454,44
0.00455,44
0.004554857,50.57142857
0.004566,46.75
0.004577,30.5
0.00459,76
0.0046,40
0.00461,35
0.00461,58
0.00463,0
0.004655667,39
0.00466,31
0.00467,45
0.00467,0
0.00468,50
0.00468,58
0.00469,0
0.00469,0
0.00469,54
0.0047,52
0.00472,0
0.00473,44
0.00474,45
0.004745,47.5
0.0047524,36.8
0.004775,67
0.00478,45
0.00479,44.66666667
0.0048,0
0.00481,50
0.00481,43
0.004815,62
0.00482,53
0.00482,64
0.0048373,45
0.00484826,55.11320755
0.00486,29
0.00487,57
0.00487,50
0.00487,34
0.004878667,38.66666667
0.00488,29
0.0049,56
0.0049,56
0.00491,65
0.00491,39
0.004917202,46.44
0.00492,50
0.004942895,52.17391304
0.00495,50.2
0.00495,48
0.00496,38
0.00498,63
0.00498,43
0.0049892,55.6
0.00499,55
0.00499,54
0.00499,55
0.00499,71
0.00501,3.333333333
0.00502,0
0.00502,0
0.00505,49
0.005053515,43.5
0.005055,41.5
0.00506,45.5
0.005072714,41.28571429
0.005073333,49.66666667
0.00508,0
0.00509,47
0.0051,52
0.00510705,0
0.00511,42
0.00512,41.5
0.005128333,0
0.00513,38
0.005155267,49
0.00516,36
0.00518,54
0.0052,59
0.00522,43.5
0.00522,40
0.00523,59
0.005236,50.4
0.00524,37
0.005241667,33.33333333
0.00526,38
0.00528,65
0.00528,66
0.00529,42
0.005296325,55.42857143
0.0053,50
0.0053,30
0.0053022,36.66666667
0.005324475,40.75
0.00533,52
0.00535,57
0.00535,50
0.00535,50
0.00536,60
0.00537,28
0.00537,26
0.00537,28
0.00538,22
0.0053886,43.6
0.0053965,0
0.00542,59
0.00545,0
0.00546,0
0.00547,51.66666667
0.005473333,47
0.00548,77
