genres,acousticness,danceability,loudness,tempo,popularity,key
[],0.8809999999999999,0.5442,-7.355199999999999,107.54959999999998,0.0,2
[],0.182,0.809,-10.875,112.688,31.0,8
[],0.9758333333333332,0.6196666666666668,-10.13125,115.71416666666666,0.0,2
[],0.957952380952381,0.6854761904761906,-9.764523809523807,114.62261904761904,0.0,7
"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']",0.9915714285714284,0.6242857142857143,-11.383857142857144,142.56828571428576,0.0,8
[],0.993,0.564,-13.142,105.9,0.0,11
[],0.1031,0.7446,-4.8144,115.0444,51.4,7
[],0.3574571428571429,0.7693333333333331,-5.3773809523809515,135.0795238095238,50.714285714285715,11
[],0.983,0.118,-22.774,169.421,9.0,4
['trap soul'],0.494,0.7340000000000001,-8.192,190.011,64.0,1
[],0.06175,0.7809999999999999,-7.999,92.1815,46.5,9
[],0.0609,0.411,-4.625,110.205,14.0,0
[],0.914,0.622,-11.488666666666667,111.89566666666668,2.0,3
"['dream pop', 'shoegaze', 'uk post-punk']",0.119,0.581,-10.862,117.035,29.0,9
"['desi pop', 'filmi', 'modern bollywood', 'sufi']",0.33555250000000003,0.6522500000000001,-11.054999999999998,122.08775,56.125,2
[],0.412,0.7979999999999999,-8.625,83.971,33.0,4
"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'uplifting trance']",0.00115,0.5920000000000001,-8.472000000000001,137.016,1.0,6
[],0.464,0.968,-8.084,119.953,64.0,7
['scandipop'],0.16663333333333333,0.7426666666666667,-5.921333333333332,121.29633333333334,87.0,8
"['europop', 'swedish pop']",0.34572174603174605,0.5751666666666668,-8.492928571428576,121.57620634920636,43.253968253968246,2
"[""preschool children's music""]",0.2311555555555556,0.6873333333333334,-7.4755555555555535,122.38611111111106,42.444444444444436,9
[],0.0789,0.6559999999999999,-4.223,95.974,62.0,5
"['dirty south rap', 'gangster rap', 'houston rap']",0.160175,0.7572500000000001,-6.952000000000001,137.14249999999998,42.0,4
['future bass'],0.0383,0.6509999999999999,-5.2879999999999985,146.07,52.0,5
"['album rock', 'australian rock', 'hard rock', 'rock']",0.027053639127907016,0.4763895348837216,-4.8188662790697645,128.03880232558154,51.40116279069768,9
['meme rap'],0.000319,0.73,-8.085,119.997,62.0,1
"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']",0.006557275,0.390138888888889,-5.1113888888888885,127.02575,42.22222222222222,4
[],0.941,0.525,-14.938,122.214,67.0,11
"['k-pop', 'korean pop']",0.262,0.606,-2.114,129.965,58.0,7
[],0.8390000000000001,0.529,-9.333,111.131,51.0,10
[],0.431,0.75,-9.576,90.998,62.0,0
"['pop', 'post-teen pop', 'social media pop']",0.3816999999999999,0.604,-5.9902500000000005,111.603375,72.375,5
"['opm', 'viral pop']",0.5154,0.68,-6.320599999999999,113.7878,61.6,7
"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']",0.2306126666666667,0.524,-6.6560000000000015,105.0102222222222,48.444444444444436,0
['modern rock'],0.17247986440677968,0.6053898305084746,-5.570847457627119,114.03784745762717,57.64406779661017,7
"['duranguense', 'regional mexican']",0.54,0.7709999999999999,-4.6080000000000005,139.991,47.0,5
['meme rap'],0.282,0.797,-12.625,139.988,54.0,7
"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.0989,0.578,-2.132,133.964,64.0,5
[],0.0109,0.6990000000000001,-5.704,102.023,65.0,11
"['cali rap', 'hyphy', 'k-rap', 'west coast trap']",0.271,0.922,-4.652,104.979,58.0,1
"['pop soul', 'r&b']",0.362,0.815,-9.28,87.98299999999998,57.0,0
[],0.011183333333333337,0.8296666666666668,-11.564333333333332,101.98066666666666,36.333333333333336,7
[],0.9735567010309278,0.4882164948453612,-10.933206185567014,112.69923711340208,0.020618556701030927,11
"['k-pop', 'k-pop girl group']",0.43,0.758,-2.502,119.992,56.0,5
[],0.0578,0.601,-8.006,136.421,33.0,10
"['classic opm', 'opm']",0.4828125000000001,0.4981562499999999,-12.066375,121.10390625000002,40.4375,2
[],0.010436666666666669,0.7723333333333332,-9.748666666666663,128.38299999999998,0.0,11
"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",0.0268,0.438,-4.158,127.991,57.0,0
"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']",0.0005208166666666666,0.41700000000000004,-4.0715,156.35350000000003,57.0,4
"['german dance', 'german techno', 'german trance', 'trance']",0.10286666666666666,0.6803333333333333,-6.191666666666666,131.47899999999998,58.0,10
"['k-pop', 'k-pop boy group']",0.0503,0.5720000000000001,-1.949,129.97899999999998,68.0,4
