genres,popularity
[],0
[],30
[],50
[],48.80645161
[],22
[],48
[],47
[],0
[],38
[],44
[],0
[],0
[],0
[],0
[],56
[],31
[],1
[],2
[],49
[],55
[],2
[],0
[],0
[],42
[],34
[],1
[],64.5
[],0
[],0
[],0
[],68
[],65
[],51
[],46
[],53
[],47
[],57.5
[],45
[],40
[],32
[],0
[],50
[],55
[],62
[],0
[],39
[],0
[],62
[],0
[],56
[],0
[],46
[],55
[],34
[],67
[],41
[],0
[],30
[],41
[],50
[],0
[],39.5
[],64.5
[],0
[],62.5
[],41
[],0
[],0
[],43
[],50.66666667
[],56
[],0
[],0
[],36
[],34
[],0
[],0
[],66
[],9.9375
[],48
[],16
[],60
[],26
[],10
[],9
[],59
[],35
[],5.428571429
[],51
[],48
[],29
[],61
[],0
[],0
[],43
[],43
[],47
[],0
[],38
[],10
[],64
[],0
[],52
[],20
[],0
[],53
[],38
[],3
[],9.333333333
[],38.66666667
[],48
[],0
[],0
[],59
[],0
[],45
[],2
[],44
[],0
[],30.11111111
[],53
[],37
[],44
[],37.71428571
[],50.27272727
[],35.66666667
[],46
[],1.25
[],43
[],55
[],11.33333333
[],63
[],52
[],0
[],43
[],3
[],40
[],60
[],34
[],0
[],44
[],2
[],12
[],48
[],0
[],56
[],34
[],39
[],0
[],0
[],61
[],0
[],0
[],0
[],0
[],21
[],65
[],33
[],55.14285714
[],0
[],43
[],19
[],21
[],3
[],56
[],47
[],9.5
[],45
[],52
[],0
[],42
[],33
[],40.5
[],0
[],0
[],38
[],55
[],36
[],28.33333333
[],35
[],11
[],16
[],0
[],50
[],1
[],31
[],2
[],28
[],34.75
[],21
[],34
[],28
[],49
[],20
[],51
[],36
[],34
[],47
[],24.5
[],35
[],37.53846154
[],47
[],36
[],17
[],56
[],10.5
[],0
[],2
[],50.5
[],24.5
[],0
[],31.25
[],55
[],46.5
[],20
[],40.5
[],16.5
[],28.5
[],3
[],23
[],39
[],2
[],51
[],21.33333333
[],0
[],0
[],0
[],64
[],0
[],40
[],46.75
[],36
[],43
[],19
[],31
[],12
[],45.5
[],0
[],22
[],14
[],30.6
[],42
[],21
[],13
[],49
[],60.75
[],44
[],56
[],24
[],45.33333333
[],57
[],4
[],46.4
[],2
[],24
[],3
[],0
[],45
[],60
[],0.666666667
[],51
[],33
[],14
[],43
[],1
[],36
[],64
[],0
[],0
[],52
[],61.5
[],0
[],41
[],0
[],47
[],33
[],51.33333333
[],14
[],24
[],23
[],0
[],0
[],0
[],0
[],31
[],0
[],0
[],0
[],42
[],0
[],0
[],0
[],5.25
[],0
[],8
[],33
[],4
[],9
[],0
[],9
[],21
[],14.5
[],26.75
[],42
[],1
[],0
[],0
[],51
[],0
[],29.33333333
[],39
[],49
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0.25
[],48
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],72
[],38
[],0
[],20
[],25.5
[],8
[],0
[],8.5
[],0
[],0
[],0
[],0
[],27
[],0
[],1
[],39
[],0
[],44
[],52
[],0
[],11
[],20.66666667
[],0
[],48
[],0
[],0
[],0
[],0
[],0
[],43
[],0
[],0
[],0
[],53
[],49
[],24
[],12
[],36
[],40
[],38
[],21
[],44.5
[],0
[],0
[],66
[],19
[],2
[],1
[],0
[],21
[],0
[],0
[],0
[],56
[],24
[],49
[],53
[],26
[],17
[],14
[],21
[],7
[],42
[],46
[],0
[],35
[],3.555555556
[],12
[],3
[],44
[],9.25
[],22
[],15
[],61
[],32
[],62
[],43.55555556
[],23
[],7.333333333
[],16.375
[],2.8
[],44
[],1.482758621
[],18
[],0
[],62
[],0
[],29.14285714
[],31
[],24
[],35
[],49
[],63
[],18
[],34
[],10
[],29
[],25
[],12
[],4
[],0
[],15.5
[],34
[],10.8
[],0
[],15.66666667
[],0
[],9
[],4
[],0
[],38.5
[],41
[],37
[],0
[],0
[],9
[],38
[],6
[],30
[],0
[],10
[],2
[],0
[],0
[],50
[],0
[],33
[],47
[],49
[],0
[],37
[],12
[],16
[],49.66666667
[],36
[],0
[],0
[],61
[],66
[],60
[],62.75
[],57
[],39.5
[],59
[],37
[],0.333333333
[],49.5
[],34
[],33
[],36
[],24
[],31.5
[],49
[],0
[],0
[],0
[],7
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],55
[],1
[],72
[],66
[],57
[],48
[],74
[],32
[],46
[],29
[],38
[],0
[],61
[],47
[],44
[],66
[],43
[],51
[],0
[],0
[],1
[],0.333333333
[],0
[],13.5
[],4.916666667
[],34
[],0
[],0
[],8
[],0
[],0
[],0
[],0
[],1
[],0
[],48
[],33
[],6.75
[],1
[],0
[],0
[],0
[],26.28571429
[],0
[],0
[],45.14285714
[],0
[],1.5
[],21
[],4.333333333
[],57
[],47
[],5
[],43.5
[],25
[],75
[],0
[],0.666666667
[],35
[],0
[],27
[],39
[],1
[],13.66666667
[],28
[],7.711340206
[],26.66666667
[],46
[],62
[],24
[],2
[],12
[],4
[],0
[],0
[],16.375
[],4.5
[],5
[],19
[],41
[],1
[],55
[],41
[],52
[],45
[],35
[],21
[],32
[],8
[],45
[],74
[],44
[],0
[],14
[],0
[],26.25
[],0
[],0
[],7
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],6
[],32
[],19
[],0
[],54
[],52.5
[],44
[],32.5
[],3
[],39
[],2.666666667
[],0
[],0
[],22.5
[],6.714285714
[],0
[],2.136363636
[],0.5
[],38
[],57
[],0
[],45
[],49
[],6
[],48
[],0
[],41.76470588
[],2
[],39
[],56
[],46
[],50
[],2
[],28
[],46
[],24
[],32
[],0
[],54
[],0.5
[],63
[],25
[],0
[],23
[],21.33333333
[],0.5
[],0
[],0
[],9
[],30.33333333
[],52
[],40
[],43
[],24.5
[],64
[],47
[],2
[],59
[],61
[],9
[],9
[],0
[],36
[],24
[],33
[],2.875
[],0
[],1
[],0
[],0
[],0
[],0
[],26
[],39.5
[],0
[],2
[],0
[],40.5
[],34
[],2.5
[],0
[],11
[],55
[],24.66666667
[],63
[],18.33333333
[],0
[],0
[],65
[],0
[],3
[],0
[],0
[],0
[],0
[],0.363636364
[],0
[],36
[],0
[],0
[],0
[],40
[],0
[],0
[],0
[],0
[],0
[],6.6
[],0
[],23
[],0
[],60
[],56
[],5
[],48
[],0
[],70
[],40
[],57
[],0
[],4.5
[],68
[],0
[],0.75
[],0
[],0
[],0
[],0
[],51.57894737
[],32
[],32
[],0
[],1
[],36
[],0.5
[],2
[],0
[],36.71428571
[],1
[],60.5
[],66
[],53
[],47
[],44
[],42
[],42
[],0
[],0
[],31
[],33
[],65
[],32
[],44
[],0
[],48.33333333
[],32
[],34
[],48
[],39.71428571
[],40
[],59
[],27
[],46
[],51
[],35.5
[],9
[],32
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],63
[],1.142857143
[],18.33333333
[],0
[],29
[],0
[],52
[],0
[],37
[],0.333333333
[],0.5
[],41
[],0.166666667
[],0
[],0
[],2.5
[],0
[],0
[],19
[],46
[],40
[],4
[],3
[],0
[],3
[],2
[],6
[],0
[],0
[],5
[],48.875
[],0
[],0
[],33
[],37
[],11
[],0
[],11.83870968
[],2
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],6.5
[],0
[],32.66666667
[],46
[],9
[],0
[],70
[],53
[],0
[],0
[],35.1
[],44
[],9.444444444
[],0
[],0
[],0
[],40.44444444
[],0
[],64
[],0
[],0
[],0
[],30
[],6
[],3
[],54
[],0
[],10
[],57.5
[],0
[],48
[],0
[],42
[],44.25
[],7
[],4
[],0
[],0
[],6.176470588
[],69
[],0
[],0
[],33
[],25
[],55
[],0
[],35
[],42
[],15
[],0
[],43
[],40
[],7
[],54
[],0
[],55
[],3
[],0
[],56
[],0.048780488
[],24
[],22
[],20
[],19
[],0
[],0
[],0
[],0.75
[],0
[],2
[],0
[],45
[],34
[],0
[],0
[],0
[],0
