tempo,popularity
77.707,45
77.716,58
77.717,0
77.721,0
77.734,41
77.735,0
77.7375,0
77.742,40
77.756,10
77.766,0
77.781,42
77.783,1
77.787,0
77.789,7
77.7945,1
77.795,22
77.795,22
77.795,22
77.795,22
77.795,22
77.825,42.5
77.827,2
77.832,6
77.832,1
77.835,0
77.845,29
77.856,40
77.866,48
77.87,0
77.87,0
77.879,71
77.882,58
77.885,60.5
77.8855,63.5
77.888,0
77.889,49.66666667
77.896,27
77.904,42
77.917,48
77.918,35
77.918,38
77.923,59
77.923,50
77.924,58
77.924,30
77.924,30
77.924,30
77.931,38
77.931,38
77.93666667,0
77.938,62
77.9505,29.5
77.9505,29.5
77.9578125,36.1875
77.958,39
77.962,47
77.966,0
77.973,49
77.977,70
77.986,68
77.986,68
77.986,68
77.986,68
77.99,56
77.994,76
77.994,47
77.994,63
77.995,46
77.995,37
78,62
78.001,36
78.001,60
78.005,0
78.005,0
78.005,0
78.005,0
78.005,48
78.005,0
78.005,48
78.005,48
78.005,48
78.005,0
78.005,0
78.006,58
78.008,41
78.008,41
78.01,37
78.012,37
78.012,60
78.012,60
78.015,34
78.03,0
78.035,0
78.035,0
78.035,52
78.037,40
78.045,54
78.05,52
78.051,50.75
78.06,65
78.065,42
78.071,44
78.0775,0
78.084,0
78.08425,0
78.092,19
78.099,61.33333333
78.0995,10
78.103,33.66666667
78.103,0
78.104,14
78.10966667,11.33333333
78.118,30
78.124,4
78.12675,0.5
78.131,38
78.132,51
78.132,63.5
78.133,0
78.143,46
78.146,47
78.1465,0
78.152,29
78.154,23
78.155,39
78.161,10
78.161,56
78.16366667,0
78.166,39
78.174,1
78.184,0
78.216,0
78.216,0
78.216,24.66666667
78.23133333,0
78.232,34
78.232,34
78.232,34
78.23566667,0
78.243,0
78.251,15
78.254,0
78.265,0.5
78.277,44
78.277,9
78.283,0
78.29,66
78.292,0
78.298,20
78.3,30
78.3,0
78.3335,51.5
78.336,68
78.3555,79.5
78.3615,3
78.362,0
78.363,52
78.372,0
78.394,21
78.394,21
78.394,21
78.398,0
78.404,52
78.405,44
78.406,0
78.412,62
78.423,39
78.426,52
78.426,52
78.426,52
78.428,8
78.438,62
78.442,53
78.443,47
78.44666667,24.33333333
78.457,50
78.45985714,40.57142857
78.46,66
78.465,0
78.471,45
78.4725,57
78.477,43
78.483,0
78.492,63
78.492,63
78.494,32
78.494,32
78.499,1
78.51,0
78.51,0
78.517,31
78.524,0
78.525,0.5
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.534,19
78.538,40.33333333
78.541,0
78.57,0.333333333
78.577,34
78.578,53
78.59,42
78.592,0
78.592,0
78.599,0
78.613,0
78.62,35
78.621,16
78.623,59
78.627,0
78.6275,19.5
78.643,73
78.648,0
78.658,0
78.662,63
78.668,23
78.669,0
78.683,0
78.685,34
78.686,55
78.686,35
78.7055,55
78.711,8
78.722,45.5
78.73,63
78.73,63
78.73825,0
78.743,7
78.771,35
78.782,0
78.801,59
78.803,49
78.807,49
78.807,0
78.811,0
78.811,0
78.811,0
78.816,39
78.8275,47.5
78.8305,44
78.836,39
78.843,70
78.85166667,65.33333333
78.862,59
78.878,38
78.881,0
78.881,0
78.881,0
78.882,0
78.894,5
78.895,0
78.904,29.5
78.907,0
78.9085,48.5
78.9325,0
78.936,62
78.94,0
78.948,61
78.952,0
78.96233333,46
78.963,67
78.9675,37.5
78.979,39
78.995,62.5
78.999,36
78.999,27
79.005,57
79.006,37
79.015,55
79.015,50.25
79.0175,56.5
79.028,0
79.03566667,0
79.038,59
79.038,59
79.038,59
79.045,59
79.055,1
79.055,56
79.055,33
79.071,0
79.07366667,1.333333333
79.082,38
79.084,18.33333333
79.092,58
79.093,53
79.12625,39.5
79.12635294,47
79.136,0
79.138,24
79.141,66
79.1476,0
79.159,0
79.16,44
79.168,33
79.178,0
79.183,16
79.193,52
79.196,60
79.213,1.5
79.214,0
79.24,11
79.242,35
79.242,35
79.2484,0
79.27566667,0
79.285,51
79.285,51
79.2865,22.5
79.2865,22.5
79.29363636,0
79.296,1
79.301,0
79.301,0
79.306,2.666666667
79.31,76
79.312,39
79.32666667,49.33333333
79.34628571,0
79.361,0.333333333
79.3785,0
79.37891667,0.166666667
79.39,3
79.39,48
79.39633333,0
79.40166667,0
79.406,30
79.41025,0
79.413,0
79.416,20.5
79.425,0
79.442,65
79.445,39
79.451,11
79.451,11
79.46266667,22.66666667
79.463,48
79.467,0
79.476,0
79.48033333,32
79.484,69
79.5024,29
79.509,78
79.516,5
79.53,58
79.536,33
79.54041667,22.66666667
79.55566667,8.666666667
79.569,0
79.5735,6
79.574,27
79.575,46
79.585,0
79.585,0
79.585,0
79.585,24
79.597,35
79.601,32
79.605,0
79.613,31
79.61844444,0
79.626,5
79.6375,43
79.638,59
79.64,0
79.64933333,24.33333333
79.657,0
79.661,35
79.661,35
79.661,35
79.661,35
79.667,45
79.667,45
79.674,0
79.685,6.5
79.687,0
79.695,60
79.703,47
79.7115,0
79.7115,66
79.716,67
79.716,67
79.7188,0
79.72,43
79.7255,59
79.728,34
79.733,32
79.742,3
79.748,0
79.751,27
79.76,53
79.76,53
79.7645,18
79.765,0
79.766,0
79.7704,66.2
79.773,51
79.773,51
79.773,51
79.773,51
79.775,0
79.782,26
79.78366667,22.66666667
79.789,66
79.789,66
79.792,0
79.803,50
79.807,53
79.821,39
79.826,3
79.828,43
79.838,63
79.843,57
79.8495,34.75
79.8505,14
79.8505,14
79.853,51
79.854,34
79.857,51
79.857,51
79.857,34
79.862,0
79.862,46
79.863,71
79.864,54
79.8652,35
79.876,0
79.882,46
79.8855,44
79.887,51
79.888,61
79.889,46
79.89633333,29.66666667
79.899,37
79.904,7
79.907,54
79.912,11
79.919,55
79.931,0
79.935,41
79.937,51
79.94,36
79.94,36
79.94,36
79.945,61
79.9505,2
79.955,51
79.959,65
79.959,50.33333333
79.963,0
79.964,37
79.964,37
79.9645,69
79.966,53
79.968,57
79.969,61.5
79.9695,41
79.972,42
79.972,42
79.9728,0.2
79.976,51
79.976,51
79.9765,53
79.98,51
79.98,59
79.981,53
79.983,40
79.989,64
79.99,71
79.992,27
79.994,53
79.997,62
79.997,66
79.998,1.5
80.001,53
80.001,45
80.001,57
80.0018,0
80.002,59
80.003,61
80.004,66
80.005,59
80.0065,0
80.011,49
80.011,49
80.012,66
80.018,44
80.018,57
80.02,0
80.029,72
80.031,59
80.0311,0
80.033,70
80.037,51
80.03947059,0
80.045,54
80.071,65
80.071,0
80.083,0
80.086,49
80.087,68
80.08833333,0
80.095,46
80.112,0
80.115,62
80.123,48
80.125,0
80.147,37
80.147,37
80.147,37
80.156,48
80.194,0
80.197,57
80.198,0
80.198,0
80.199,0
80.199,0
80.207,50.33333333
80.2165,57.5
80.217,0
80.224,0
80.22575,0.75
80.226,0
80.241,37
80.293,58
80.294,49.33333333
80.29685714,5.428571429
80.3065,0.5
80.313,31
80.314,37
80.325,49
80.328,44
80.3465,0
80.3465,0
80.348,42
80.348,42
80.349,35
80.349,35
80.3618,10.8
80.367,63
80.367,63
80.37,0
80.373,16
80.373,16
80.3855,0
80.39,46
80.392,0
80.392,0
80.393,41
80.3955,0
80.396,46
80.415,53
80.418,44
80.418,44
80.441,0
80.442,5
80.44566667,14.66666667
80.4505,0
80.473,27
80.48175,24.5
80.482,70.33333333
80.484,47
80.489,49
80.505,42
80.5055,55
80.512,0
80.515,58.5
80.52,0
80.521,38
80.5275,0
80.528,2
80.529,77
80.53154545,0
80.536,0
80.541,22
80.542,46
80.542,0
80.546,55
80.5625,13.5
80.56833333,19.66666667
80.5705,58.5
80.575,0
80.576,0
80.582,0
80.585,36
80.6105,10
80.613,0
80.628,74
80.643,0
80.643,0
80.643,52
80.6515,4.5
80.654,0
80.654,0
80.663,43
80.666,0
80.671,66
80.675,0
80.67515789,51.15789474
80.688,63
80.693,15
80.693,15
80.693,15
80.693,15
80.701,3
80.702,31.5
80.714,64
80.719,0
80.727,59
80.737,41
80.741,14
80.745,43
80.755,10
80.76666667,13
80.781,1
80.781,1
80.788,38
80.791,0
80.8,32
80.8045,0
80.821,3
80.837,63
80.841,0
80.8435,0.5
80.853,11
80.869,50
80.877,44
80.878,0
80.88,0
80.88066667,0
80.889,0
80.893,60
80.894,0
80.894,0
80.8965,9.5
80.9025,45
80.919,0
80.919,0
80.927,0
80.928,57
80.928,57
80.93,60
80.935,65
80.935,65
80.93666667,61
80.951,63
80.95233333,39.33333333
80.95233333,39.33333333
80.956,69
80.956,0
80.962,62
80.965,8
80.965,25
80.971,0
80.975,40
80.982,50
80.9825,17
80.984,34
80.985125,0.375
80.986,0
80.99,50
80.991,48
80.991,48
80.993,53
80.9952,0
81.003,39
81.004,0
81.005,61
81.005,0
81.01,40
81.01366667,0
81.017,4
81.029,66
81.032,52
81.034,0
81.035,69
81.0355,10
81.036,40
81.041,48
81.04766667,42
81.057,0
81.061,61
81.068,1
81.073,33
81.08,0
81.08366667,0
81.0875,3.5
81.094,33
81.101,46
81.10966667,32.33333333
81.10966667,32.33333333
81.115,38
81.125,49
81.1316,0
81.141,34
81.141,34
81.15,28
81.163,38
81.16833333,64.33333333
81.181,61
81.187,30
81.198,53
81.199,2
81.2,17
81.201,38
81.2125,0
81.215,0
81.216,0
81.219,0
81.22,1
81.255,24
81.259,0
81.268,44
81.269,42
81.269,42
81.291,53
81.29225,0
81.293,42
81.293,0
81.297,0
81.31333333,70.33333333
81.324,58
81.328,48
81.33,0
81.336,25
81.3595,41.5
81.3595,41.5
81.361,48
81.373,8
81.373,0
81.385,24
81.39,0
81.4,46
81.40066667,0
81.404,75
81.406,24
81.409,27
81.41,27
81.416,0
81.416,35
81.42,0
81.42,61
81.42,61
81.42433333,40
81.433,35
81.435,56
81.441,0
